Column1,Column2,Column3
@thelife0femily,@GeorgeTakei,RT
@librolover,@ananavarro,RT
@Sgcrowell,@nappiestNate,RT
@Sgcrowell,@SenCoryGardner,Mention
@jamestolkien,@pattonoswalt,RT
@KahlerSabrina,@The_Trump_Train,RT
@WordyMary,@jobeckerhrw,RT
@JoFancyfree,@IMPL0RABLE,RT
@OakfeathersJS,@Arizona_Strong,RT
@OakfeathersJS,@JeffFlake,Mention
@CricketArt67,@StephenAtHome,RT
@scoreone4conser,@RJGatorEsq,RT
@MadeForMst3k,@GeorgeTakei,RT
@poetinpa,@catvalente,RT
@jileebee,@JoshNoneYaBiz,RT
@AndreaMatthews9,@bennydiego,Reply
@aobajousaikai,@aobajousaikai,Tweet
@sbrooka2,@SethMacFarlane,RT
@NayMac11,@AlecBaldwin,Mention
@bad_motha_fcka,@alyssaharad,RT
@VivianBart1,@clairecmc,RT
@revmisscharli,@YNB,RT
@Jenal5Lp,@Elizasoul80,RT
@EnduriClan,@JoyHabeHouston,RT
@pokergod420,@JohnFugelsang,RT
@Pacha_Patti,@People4Bernie,RT
@loret28,@GeorgeTakei,RT
@rybigbee,@funder,RT
@Lynquest,@btckr,RT
@LinWan12,@reason,RT
@3illSweet,@PaperClippe,RT
@dojiedojie,@KazeSkyz,RT
@SFHandyman,@SFHandyman,Tweet
@allivalett,@Scott_Rainey08,RT
@RowenaGreen,@JoyAnnReid,RT
@nanibaduu,@itzzkait,RT
@jenndeve,@jbendery,RT
@ncnawgj,@SethMacFarlane,RT
@cyberbottom,@brianklaas,RT
@AarDayburnin,@AarDayburnin,Tweet
@soulchuck,@SethMacFarlane,RT
@Matty_Ice42,@esheikh_,RT
@RoughNReady1,@KamalaHarris,RT
@Claire9237,@GeorgeTakei,RT
@Dogmama17,@misterpatches,RT
@Keylimeshav,@asalyer_16,RT
@Siabeans,@ItsDanSheehan,RT
@MrsLfromTX,@Elizasoul80,RT
@MESSpendelow,@SethMacFarlane,RT
@LogLegalShield9,@PalmerReport,RT
@Bev_Graham,@charliekirk11,RT
@Bev_Graham,@SenatorDurbin,Mention
@lionessmom76,@JuddLegum,RT
@acshei,@_CasanovaJr,RT
@20th2017,@BigStick2013,RT
@paleblu_dot,@SethMacFarlane,RT
@francis5troy,@amprog,RT
@D0CT0RJekyll,@1Lcampesino,RT
@jrturner_,@YourAnonNews,RT
@eCoopsRob,@TeaPainUSA,RT
@poisoned_lady,@IMPL0RABLE,RT
@sirsassalot,@AmyMek,RT
@csusier,@MMFlint,RT
@bhaklava,@jchaltiwanger,RT
@darklarrie18,@itzzkait,RT
@tiffanyclay,@Green_Footballs,RT
@MN_Whitfield,@MN_Whitfield,Tweet
@hxrleyquiinn,@DrTGIF,RT
@zayville_,@vicenews,RT
@AndyDekka,@ItsDanSheehan,RT
@RichNj5,@leclemot,RT
@harmophile,@CharlesMBlow,RT
@missEmilyCheree,@1Lcampesino,RT
@morganator009,@LabSplice,RT
@informacija,@informacija,Tweet
@copthatlox,@bradlander,RT
@iRonNCSU,@campcreek,RT
@TheTobster111,@JamiaStarheart,RT
@TheTobster111,@LivingBlueinRed,Mention
@callmehuff,@TEN_GOP,Reply
@BethBaldauf,@gov,RT
@BethBaldauf,@SenateDems,Mention
@tscimone88,@RowanBlanchard,RT
@MrsJedi,@SethMacFarlane,RT
@binalynn,@itzzkait,RT
@oneillleo,@IBJIYONGI,RT
@tstyles77,@tstyles77,Tweet
@reggiep08,@wilw,RT
@tammytremblay21,@wilw,RT
@nivey,@womensmarch,RT
@MyopicGestalt,@Amy_Siskind,RT
@halhxrexb,@RowanBlanchard,RT
@kpanyc,@girlsreallyrule,RT
@mmwlawtaos,@dclivejazz,RT
@mmwlawtaos,@thehill,Mention
@lcsarson,@JohnFugelsang,RT
@_bellarn,@ItsDanSheehan,RT
@glopdemon,@adamjohnsonNYC,RT
@TyeeWilliams,@GeorgeTakei,RT
@clarkepatterson,@alsaldich,Reply
